"Movie","Release_Date","Distributor","Budget_2008","Total_Gross","Opening_Weekend_Gross","Genre","MPAA","Run_Time","Num_Screens","Gross_Per_Screen","IMDB_Score","Academy_Award","Google_Hits","Rotten_Tomatoes"
"Fool's Gold","02/08/08","Warner Bros.",7e+07,70224196,21589295,"Adventure","PG-13",113,3125,6908.57,5.4,1,183000,10
"Forgetting Sarah Marshall","04/18/08","Universal – Distributor",NA,62877175,17725330,"Comedy","R",111,2798,6335,7.4,0,93000,84
"Four Christmases","11/26/08","Warner Bros.",8e+07,120146040,31069826,"Comedy","PG-13",88,3310,9386.65,5.7,18,106000,25
"Frost/Nixon","01/23/09","Universal – Distributor, Production Company",3.5e+07,18593156,180708,"Drama","R",122,3,60236,7.9,1,636000,91
"Get Smart","06/20/08","Warner Bros.",8e+07,130319208,38683480,"Comedy","PG-13",110,3911,9890.94,6.8,7,498000,53
"Ghost Town","09/19/08","Paramount",2e+07,13214060,5012315,"Romantic Comedy","PG-13",102,1505,3330.44,7,1,324000,85
"Gran Torino","01/09/09","Warner Bros.",3.5e+07,148055047,271720,"Drama","R",116,6,45287,8.4,2,1850000,80
"Hamlet 2","08/22/08","Focus Features",9e+06,4881867,11467,"Comedy","R",92,103,4271,6.5,3,167000,63
"Hancock","07/02/08","Columbia Pictures",1.5e+08,227946274,62603879,"Action","PG-13",92,3965,15789.12,6.6,4,158000,40
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","02/01/08","Walt Disney",7e+06,65281781,31117834,"Concert/Performance","G",74,683,45560.52,2.7,0,60100,71
"Happy-Go-Lucky","10/10/08","Miramax",NA,3494485,73867,"Comedy","R",118,4,18467,7.1,0,177000,92
"Harold & Kumar Escape from Guantanamo Bay","04/25/08","Warner Bros.",1.2e+07,38087366,14908404,"Comedy","R",107,2510,5939.6,6.8,0,42700,54
"Hellboy 2: The Golden Army","07/11/08","Universal",7.2e+07,75754670,34539115,"Action","PG-13",120,3204,10780,7.4,2,963000,87
"High School Musical 3: Senior Year","10/24/08","Walt Disney",1.1e+07,90559416,42030184,"Musical","G",112,3623,11600.93,3.7,0,2300000,67
"His Dark Materials: The Golden Compass","12/01/08","New Line",NA,NA,NA,"Adventure","PG-13",113,3528,7308,6.3,8,606000,42
"Horton Hears a Who","03/14/08","20th Century Fox",8.5e+07,154529439,45012998,"Adventure","G",86,3954,11384.17,7.2,0,104000,78
"How She Move","04/29/08","Paramount Vantage",NA,7070459,3957471,"Drama","PG-13",94,1531,2585,2.5,0,22900,67
"I am Legend","03/18/08","Warner Bros.",1.5e+08,256386216,77211321,"Horror","PG-13",101,3606,21411.9,7.1,2,379000,69
"Igor","09/19/08","MGM",2.5e+07,19528602,7803347,"Comedy","PG",87,2339,3336.19,6,0,25900,35
"In Bruges","02/08/08","Focus Features",1.5e+07,7757130,457227,"Comedy","R",107,28,16330,8.1,2,240000,80
"In the Name of the King: A Dungeon Siege Tale","01/11/08","Freestyle Releasing",6e+07,4535117,2984524,"Action","PG-13",127,1632,1829,3.8,0,307000,4
